,State,District,Incumbent/Challenger/Open,Receipts 18m,Contributions from Individuals 18m,Contributions from PACs and Other Committees 18m,Contributions and Loans from the Candidate 18m,Disbursements 18m,Cash On Hand,Debts 18m,Coverage End Date,Year,Candidate last name,Candidate first name,Candidate middle name,Stage,Party,Candidate votes,Total votes,Won?
122,MAINE,1,Open,120517,77017,43500,0,112098,8417,30240,1990-06-30 00:00:00,1990,EMERY,DAVID,F,GEN,REPUBLICAN,110836.0,278872,False
123,MAINE,2,Incumbent,110980,79803,23450,0,63650,78732,0,1990-06-30 00:00:00,1990,SNOWE,OLYMPIA,J,GEN,REPUBLICAN,121704.0,238522,True
124,MAINE,2,Challenger,57039,40645,10600,4406,36834,20204,13471,1990-06-30 00:00:00,1990,MCGOWAN,PATRICK,K,GEN,DEMOCRAT,116798.0,238522,False
125,MARYLAND,1,Incumbent,360239,102116,255550,0,273429,100676,27492,1990-06-30 00:00:00,1990,DYSON,ROY,,GEN,DEMOCRAT,67518.0,156438,False
126,MARYLAND,1,Challenger,26254,26011,100,0,19452,7660,0,1990-06-30 00:00:00,1990,GILCHREST,WAYNE,THOMAS,GEN,REPUBLICAN,88920.0,156438,True
127,MARYLAND,2,Incumbent,534353,332138,128770,0,495082,120952,4152,1990-06-30 00:00:00,1990,BENTLEY,HELEN,DELICH,GEN,REPUBLICAN,115398.0,155183,True
128,MARYLAND,3,Incumbent,392151,160362,107890,0,137878,336092,0,1990-06-30 00:00:00,1990,CARDIN,BENJAMIN,LOUIS,GEN,DEMOCRAT,82545.0,118386,True
129,MARYLAND,4,Incumbent,571314,233176,323050,0,284582,418780,0,1990-06-30 00:00:00,1990,MCMILLEN,C,THOMAS,GEN,DEMOCRAT,85601.0,145447,True
130,MARYLAND,5,Incumbent,385352,144106,203385,0,307531,390277,0,1990-06-30 00:00:00,1990,HOYER,STENY,HAMILTON,GEN,DEMOCRAT,84747.0,105061,True
131,MARYLAND,6,Incumbent,205423,83732,113685,0,188087,94734,0,1990-06-30 00:00:00,1990,BYRON,BEVERLY,B,GEN,DEMOCRAT,106502.0,162981,True
132,MARYLAND,7,Incumbent,143230,68985,68990,0,106560,101904,0,1990-06-30 00:00:00,1990,MFUME,KWEISI,,GEN,DEMOCRAT,59628.0,70160,True
133,MARYLAND,8,Incumbent,358191,198467,154057,0,191458,178187,0,1990-06-30 00:00:00,1990,MORELLA,CONSTANCE,A,GEN,REPUBLICAN,130059.0,176887,True
134,MASSACHUSETTS,1,Incumbent,67156,11346,15761,0,58974,287127,0,1990-06-30 00:00:00,1990,CONTE,SILVIO,O,GEN,REPUBLICAN,150748.0,204892,True
135,MASSACHUSETTS,2,Incumbent,213417,94736,103974,0,268604,28982,5555,1990-06-30 00:00:00,1990,NEAL,RICHARD,E,GEN,DEMOCRAT,134152.0,197321,True
136,MASSACHUSETTS,3,Incumbent,242607,173359,69248,0,199364,154740,0,1990-06-30 00:00:00,1990,EARLY,JOSEPH,D,GEN,DEMOCRAT,150992.0,230432,True
137,MASSACHUSETTS,4,Incumbent,361988,189970,160167,0,265188,224366,4068,1990-06-30 00:00:00,1990,FRANK,BARNEY,,GEN,DEMOCRAT,143473.0,229894,True
138,MASSACHUSETTS,4,Challenger,8228,3290,0,4100,6746,1481,4400,1990-06-30 00:00:00,1990,SOTO,JOHN,RAYMOND,GEN,REPUBLICAN,75454.0,229894,False
139,MASSACHUSETTS,5,Incumbent,249716,247641,430,0,248374,21231,0,1990-06-30 00:00:00,1990,ATKINS,CHESTER,G,GEN,DEMOCRAT,110232.0,221140,True
140,MASSACHUSETTS,5,Challenger,46825,46100,725,0,43480,3343,0,1990-06-30 00:00:00,1990,MACGOVERN,JOHN,F,GEN,REPUBLICAN,101017.0,221140,False
141,MASSACHUSETTS,6,Incumbent,219634,130251,87999,0,163264,162063,3075,1990-06-30 00:00:00,1990,MAVROULES,NICHOLAS,,GEN,DEMOCRAT,149284.0,244937,True
142,MASSACHUSETTS,7,Incumbent,306091,247075,0,0,117471,639678,0,1990-06-30 00:00:00,1990,MARKEY,EDWARD,JOHN,GEN,DEMOCRAT,155380.0,236580,True
143,MASSACHUSETTS,9,Incumbent,417580,169225,212674,0,207757,500628,0,1990-06-30 00:00:00,1990,MOAKLEY,JOHN,JOSEPH,GEN,DEMOCRAT,124534.0,200997,True
144,MASSACHUSETTS,10,Incumbent,264555,166555,90207,0,143493,163036,0,1990-06-30 00:00:00,1990,STUDDS,GERRY,E,GEN,DEMOCRAT,137805.0,265838,True
145,MASSACHUSETTS,10,Challenger,120353,107724,0,4500,81411,40838,58000,1990-06-30 00:00:00,1990,BRYAN,JON,LANCE,GEN,REPUBLICAN,120217.0,265838,False
