,Congressional Candidate Table 7**,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
38,Arizona ,01,"REIDHEAD, NOLAN QUINN MR",Republican Party,Challenger,111039.69,66072.04,0,44878.61,98377.42,12662.27,15000,2020-06-30 00:00:00
39,Arizona ,01,"SHAMLEY, DOYEL",Republican Party,Challenger,4887.57,4887.57,0,0,4887.57,0,0,2020-06-30 00:00:00
40,Arizona ,01,"SHEDD, TIFFANY",Republican Party,Challenger,607920.48,447207.86,88000,72516.9,364005.64,247348.3,295140.37,2020-06-30 00:00:00
41,Arizona ,01,"TAYLOR, CHRIS",Republican Party,Challenger,28872.83,28872.83,0,0,28699.86,172.97,23297.57,2020-06-30 00:00:00
42,Arizona ,02,"KIRKPATRICK, ANN",Democratic Party,Incumbent,1458571.27,896468.96,536001,0,777311.09,753451.43,0,2020-06-30 00:00:00
43,Arizona ,02,"LIGON, MIKE",Republican Party,Challenger,50500,500,0,50000,50500,0,0,2019-08-01 00:00:00
44,Arizona ,02,"MARTIN, BRANDON RAY",Republican Party,Challenger,182193.73,182150.26,0,0,144545.64,37648.09,0,2020-06-30 00:00:00
45,Arizona ,02,"MORGAN, JOSEPH DAVID",Republican Party,Challenger,29387.2,28926.66,0,364.54,27059.17,2368.03,0,2020-06-30 00:00:00
46,Arizona ,02,"QUILTER, PETER",Democratic Party,Challenger,9114,9114,0,0,8052,1062,0,2020-03-31 00:00:00
47,Arizona ,02,"RUDEN, NORAN ERIC",Republican Party,Challenger,276096.6,65479.11,2250,208351.8,189676.27,86420.33,100000,2020-06-30 00:00:00
48,Arizona ,02,"STAUTZ, SHAY",Republican Party,Challenger,245212.74,138273.98,0,106938.76,237682.96,7529.78,106938.76,2020-06-30 00:00:00
49,Arizona ,02,"WADSACK, JUSTINE LOUISE",Republican Party,Challenger,17427.68,9480,0,7370.82,17329.65,98.03,7370.82,2020-03-31 00:00:00
50,Arizona ,03,"GRIJALVA, RAUL M",Democratic Party,Incumbent,610918.91,416393.13,172094.53,0,408956.22,240118.43,4015.59,2020-06-30 00:00:00
51,Arizona ,03,"RONNEBECK, STEVE",Republican Party,Challenger,4880,4880,0,0,3422.36,1457.64,0,2019-12-31 00:00:00
52,Arizona ,03,"WOOD, DANIEL",Republican Party,Challenger,4425,4425,0,0,2262.21,2162.79,0,2020-06-30 00:00:00
53,Arizona ,04,"GOSAR, PAUL DR.",Republican Party,Incumbent,388599.65,212706.53,155591.93,0,271109.91,238689.32,0,2020-06-30 00:00:00
54,Arizona ,04,"DISANTO, DELINA",Democratic Party,Challenger,30750.85,28245.85,0,0,28276.22,11038.82,34504.93,2020-06-30 00:00:00
55,Arizona ,04,"ROBINSON, EMILY",Independent,Challenger,240267.23,59.99,0,240207.24,212.72,240054.51,240207.24,2019-12-31 00:00:00
56,Arizona ,04,"STARKY, STUART",Democratic Party,Challenger,5161,2561,0,0,6407.75,-1223.75,0,2020-06-30 00:00:00
57,Arizona ,04,"WARD, ANNE MARIE",Republican Party,Challenger,74108.08,63908,0,9525,63171.27,10936.81,56744.27,2020-06-30 00:00:00
58,Arizona ,05,"BIGGS, ANDY MR.",Republican Party,Incumbent,933665.84,677672.17,234780,0,667489.93,551421.42,55000,2020-06-30 00:00:00
59,Arizona ,05,"GREENE, JOAN",Democratic Party,Challenger,92194.33,83249.54,0,8944.79,85436.75,7594.99,142880.31,2020-06-30 00:00:00
60,Arizona ,05,"RAMOS, JAVIER GARCIA MR.",Democratic Party,Challenger,6072.82,0,0,6072.82,5796.6,276.22,0,2020-06-30 00:00:00
61,Arizona ,06,"SCHWEIKERT, DAVID S.",Republican Party,Incumbent,1298032.77,779074.61,351358.75,0,1105603.74,236661.52,111202.4,2020-06-30 00:00:00
62,Arizona ,06,"GENTLES, KARL E",Democratic Party,Challenger,212104.8,212104.8,0,0,195122.45,16982.35,0,2020-06-30 00:00:00
63,Arizona ,06,"LEWELLEN, TOM MR.",,Challenger,13615,3415,0,10200,8410.22,1226.78,0,2020-06-30 00:00:00
64,Arizona ,06,"MALIK, ANITA",Democratic Party,Challenger,233285.99,232340.99,0,0,174198.35,65283.12,0,2020-06-30 00:00:00
65,Arizona ,06,"RIMMER, STEPHANIE S",Democratic Party,Challenger,181463.64,65324.5,0,114515,152626.77,28836.87,0,2020-06-30 00:00:00
66,Arizona ,06,"TIPIRNENI, HIRAL VYAS",Democratic Party,Challenger,2400998.39,2111002.07,266751.09,21406.09,850276.19,1651323.94,70000,2020-06-30 00:00:00
67,Arizona ,07,"GALLEGO, RUBEN",Democratic Party,Incumbent,1372404.98,779356.49,590646.99,0,861130.36,970452.48,0,2020-06-30 00:00:00
68,Arizona ,07,"BARNETT, JOSH",Republican Party,Challenger,11047,8397,0,2650,7395.5,3651.5,2650,2020-06-30 00:00:00
69,Arizona ,08,"LESKO, DEBBIE",Republican Party,Incumbent,1023745.74,585371.62,254281.76,0,535145.13,559441.28,0,2020-06-30 00:00:00
70,Arizona ,08,"MUSCATO, MICHAEL ARCHANGEL",Democratic Party,Challenger,204726.64,136319.43,0,58869.13,161465.62,43261.02,18000,2020-06-30 00:00:00
71,Arizona ,08,"MUSSELWHITE, ROBERT RICHARD",Democratic Party,Challenger,19032.97,0,0,15209.24,19214.27,203.1,0,2020-06-30 00:00:00
72,Arizona ,08,"OLSEN, ROBERT",Democratic Party,Challenger,60214.2,10214.2,0,50000,69558,-10219.8,50000,2020-06-30 00:00:00
73,Arizona ,09,"STANTON, GREG",Democratic Party,Incumbent,1358037.49,914806.34,431210.88,0,601407.91,801014.97,0,2020-06-30 00:00:00
74,Arizona ,09,"BARONESS VON BEHR, IRINA",Independent,Challenger,0,0,0,0,52.31,0,19623.99,2020-05-05 00:00:00
75,Arizona ,09,"FUENTES-WOLFE, TALIA",Democratic Party,Challenger,11529,0,0,11529,11529,0,11529,2020-03-31 00:00:00
76,Arizona ,09,"GILES, DAVID VICTOR",Republican Party,Challenger,87998.7,14725.03,0,73273.67,86069.26,1929.44,489344.36,2020-06-30 00:00:00
77,Arizona ,09,"TUTORA, NICHOLAS",Republican Party,Challenger,54051,5701,0,48350,14152.12,36332.76,45500,2020-06-30 00:00:00
78,Arkansas,01,"CRAWFORD, ERIC ALAN RICK",Republican Party,Incumbent,769901.02,375398.4,390335.62,0,658067.28,423258.26,0,2020-06-30 00:00:00
79,Arkansas,02,"HILL, JAMES FRENCH",Republican Party,Incumbent,1945710.25,872705.61,888946.96,0,536865.73,1455625.15,0,2020-06-30 00:00:00
80,Arkansas,02,"ELLIOTT, JOYCE ANN SENATOR",Democratic Party,Challenger,1050501.58,898250.74,139750,10100,331231.72,719269.86,10000,2020-06-30 00:00:00
81,Arkansas,03,"WOMACK, STEVE",Republican Party,Incumbent,701102.62,329177,365381.3,0,513780.3,1346541.11,0,2020-06-30 00:00:00
82,Arkansas,03,"WILLIAMS, CELESTE SARENE",Democratic Party,Challenger,221199.85,214701.25,1000,0,163594.82,57605.03,0,2020-06-30 00:00:00
83,Arkansas,04,"WESTERMAN, BRUCE",Republican Party,Incumbent,988220.66,436963.25,541650,0,510687.13,1149143.08,0,2020-06-30 00:00:00
84,Arkansas,04,"HANSON, WILLIAM MR.",Democratic Party,Challenger,73174,31274,0,0,66068.69,7105.31,41900,2020-06-30 00:00:00
85,Arkansas,04,"REDMOND, RAYMOND DALLAS JR.",Democratic Party,Challenger,20,0,0,20,20,0,0,2019-06-30 00:00:00
86,California ,01,"LAMALFA, DOUG",Republican Party,Incumbent,834972.74,410469.15,294909.52,0,309096.25,552507.44,641.2,2020-06-30 00:00:00
87,California ,01,"DENNEY, AUDREY",Democratic Party,Challenger,1322031.82,1261076.34,47200,0,802724.54,519799.77,0,2020-06-30 00:00:00
88,California ,02,"HUFFMAN, JARED",Democratic Party,Incumbent,628012.34,368485.86,249575,0,561602.86,887185.92,875,2020-06-30 00:00:00
89,California ,02,"MANGAS MONIZ, RACHEL OLIVIA",Democratic Party,Challenger,9966.51,4300,0,2500,10794.15,1528.87,0,2020-04-15 00:00:00
90,California ,02,"MENSING, DALE KENNETH",Republican Party,Challenger,921,400,0,521,2067.26,491.42,0,2020-06-30 00:00:00
91,California ,03,"GARAMENDI, JOHN",Democratic Party,Incumbent,793644.95,312029.36,443624,0,567380.02,950641.33,0,2020-06-30 00:00:00
92,California ,03,"FEUCHT, J.C. SEAN",Republican Party,Challenger,333293.94,327799.88,5000,0,312479.79,20814.15,0,2020-06-30 00:00:00
93,California ,03,"HAMILTON, TAMIKA",Republican Party,Challenger,146236.4,143501.4,2530,100,121198.91,25037.49,100,2020-06-30 00:00:00
94,California ,04,"MCCLINTOCK, THOMAS",Republican Party,Incumbent,1367240.89,1096453.63,118200,0,945913.7,646213.46,6429.25,2020-06-30 00:00:00
95,California ,04,"BENZEL, JULIANNE ELIZABETH MRS.",Republican Party,Challenger,120607.86,89382.87,0,31224.99,105099.39,6444.63,14000,2020-06-30 00:00:00
96,California ,04,"KENNEDY, BRYNNE",Democratic Party,Challenger,1463813.96,1329271.65,114920.88,11149.45,1107273.74,356540.22,0,2020-06-30 00:00:00
97,California ,05,"THOMPSON, MIKE MR.",Democratic Party,Incumbent,1623478.92,574955.69,1033442.83,0,1595764.04,1588501.06,6757.96,2020-06-30 00:00:00
98,California ,05,"GIBLIN, SCOTT",Republican Party,Challenger,0,0,0,0,593.86,0,0,2019-09-30 00:00:00
99,California ,06,"MATSUI, DORIS",Democratic Party,Incumbent,793272.75,244582.11,548350,0,779940.48,336667.45,0,2020-06-30 00:00:00
100,California ,06,"BISH, CHRISTINE",Republican Party,Challenger,15675.59,1447,0,14228.59,14774.52,901.07,14228.59,2020-02-19 00:00:00
101,California ,06,"EMARD, BENJAMIN",Democratic Party,Challenger,15956.89,12688.89,0,3268,15956.89,0,0,2020-03-13 00:00:00
102,California ,07,"BERA, AMERISH",Democratic Party,Incumbent,1420562.94,744027.85,675642.27,0,851424.03,1893852.34,272800,2020-06-30 00:00:00
103,California ,07,"BURDICK, JEFF",Democratic Party,Challenger,26081.94,3156,0,22846.75,26081.94,0,0,2020-03-31 00:00:00
104,California ,07,"IVY, JON",Republican Party,Challenger,15050.28,5650,0,9400,15030.78,19.5,0,2020-06-30 00:00:00
105,California ,07,"PATTERSON, ROBERT BUZZ",Republican Party,Challenger,29438.19,26938.19,0,2500,16658.32,12779.87,26445.4,2019-09-30 00:00:00
106,California ,08,"BUBSER, CHRISTINE",Democratic Party,Open,1149155.32,1002482.7,105100,32866.72,824122.95,325032.37,0,2020-06-30 00:00:00
107,California ,08,"CONAWAY, ROBERT DEAN",Democratic Party,Open,7470.57,0,0,7470.57,7496.07,-25.5,0,2020-02-12 00:00:00
108,California ,08,"DONNELLY, TIMOTHY M.",Republican Party,Open,212020.37,178884.77,10600,22405.6,212847.28,0,0,2020-03-31 00:00:00
109,California ,08,"ELLARS, JAMES ROBERT",Democratic Party,Open,2056.2,0,0,1806,1890.25,165.95,0,2019-12-31 00:00:00
110,California ,08,"ESMUS, JEFF",Non-Party,Open,21000,0,0,21000,12479.92,8520.08,17250,2020-03-31 00:00:00
111,California ,08,"OBERNOLTE, JAY",Republican Party,Open,1617842.11,210670.11,87998,1313000,1316957.12,300884.99,531522.14,2020-06-30 00:00:00
112,California ,08,"STAAT, JEREMY",Republican Party,Open,125797.96,121717.28,3666.68,0,123181.63,376.35,4000,2020-06-30 00:00:00
113,California ,08,"COOK, PAUL*",Republican Party,Incumbent,347752.66,147889.89,195500,0,454577.93,33431.84,0,2020-06-30 00:00:00
114,California ,09,"MCNERNEY, GERALD MARK",Democratic Party,Incumbent,876102.01,519136.8,348590,0,556054.72,488805.11,2954.15,2020-06-30 00:00:00
115,California ,09,"AMADOR, ANTONIO",Republican Party,Challenger,15370,12570,0,2800,7219.99,8150.01,8290,2020-06-30 00:00:00
116,California ,09,"MARTINEK, WILLIAM CHARLES",Republican Party,Challenger,19280,19280,0,0,19280,0,0,2020-04-29 00:00:00
117,California ,10,"HARDER, JOSH",Democratic Party,Incumbent,5529014.35,4524662,670790.27,0,1162412.21,4386842.8,0,2020-06-30 00:00:00
118,California ,10,"BARKLEY, MICHAEL JAMES MR.",Democratic Party,Challenger,7792.19,9.6,0,7782.59,10159.26,452.79,53929.9,2020-06-30 00:00:00
119,California ,10,"BLEVINS, RYAN",Democratic Party,Challenger,6373.59,5594.47,0,779.12,6275.89,97.7,0,2020-03-31 00:00:00
120,California ,10,"DENHAM, JEFF",Republican Party,Challenger,48330.59,2633.9,0,0,89946.08,263951.58,0,2020-06-30 00:00:00
121,California ,10,"DOSSETT, CHARLES",Republican Party,Challenger,17362.98,17362.98,0,0,4083.6,13404.38,0,2019-06-30 00:00:00
122,California ,10,"ELLIOTT, BOB",Republican Party,Challenger,400558.96,357456.16,13859,29025,393494.23,7064.73,33805.62,2020-06-30 00:00:00
123,California ,10,"HOWZE, TED D II",Republican Party,Challenger,1060788.57,591469.81,23000,426000,1116064.88,254294.34,357072.77,2020-06-30 00:00:00
124,California ,10,"SOUSA LIVENGOOD, MARLA",Republican Party,Challenger,139233.45,133633.45,5600,0,139233.45,0,0,2020-06-30 00:00:00
125,California ,11,"SHARMA, NISHA",Republican Party,Open,81372.1,67572.1,2800,11000,53599.26,27772.84,11000,2020-06-30 00:00:00
126,California ,11,"DESAULNIER, MARK",Democratic Party,Incumbent,415931.53,121894.5,293527,0,281525.61,445936.38,0,2020-06-30 00:00:00
127,California ,12,"PELOSI, NANCY",Democratic Party,Incumbent,14445037.9,11369197.01,1313066.13,0,8974472.1,6475383.62,0,2020-06-30 00:00:00
128,California ,12,"BACELAR, AGATHA",Democratic Party,Challenger,81747.68,72564.78,0,9110,78538.01,3209.67,16000,2020-06-30 00:00:00
129,California ,12,"BUTTAR, SHAHID",Democratic Party,Challenger,1136390.15,1127472.37,3879,4479.6,898798.21,237600.01,27941.51,2020-06-30 00:00:00
130,California ,12,"GALLAGHER, TOM",Democratic Party,Challenger,15924,15924,0,4886,9809.1,156.7,0,2020-03-31 00:00:00
131,California ,12,"LORRAINE, DEANNA",Republican Party,Challenger,263473.6,260604.76,1000,0,262134.71,1338.89,0,2020-06-30 00:00:00
132,California ,13,"LEE, BARBARA",Democratic Party,Incumbent,1344188.6,969385.43,320849,0,1181960.21,294531.83,4401.75,2020-06-30 00:00:00
133,California ,13,"PITERMAN, KONSTANTINE NIKKA-SHER",Republican Party,Challenger,5634.85,1880.4,0,4092,5531.58,1460.48,3121.6,2020-06-30 00:00:00
134,California ,14,"SPEIER, JACKIE",Democratic Party,Incumbent,595210.67,423312.95,161000,0,592934.58,1758712.55,4051,2020-06-30 00:00:00
135,California ,14,"GOODROW, CRISTOS JON",Democratic Party,Challenger,15000,0,0,15000,9028.92,5971.08,0,2020-06-30 00:00:00
136,California ,14,"TAYLOR, ERIC",Independent,Challenger,3159.55,0,0,3159.55,3159.55,0,3159.55,2020-06-30 00:00:00
137,California ,15,"INTAL, AUSTIN",Democratic Party,Open,1120.44,48.02,0,1072.42,1072.42,48.02,0,2019-09-30 00:00:00
138,California ,15,"WAHAB, AISHA",Democratic Party,Open,69115.5,68265.5,0,0,69115.5,0,0,2020-05-28 00:00:00
139,California ,15,"WIECKOWSKI, ROBERT",Democratic Party,Open,14175,14175,0,0,14175,0,0,2019-09-04 00:00:00
140,California ,15,"SWALWELL, ERIC MICHAEL",Democratic Party,Incumbent,2152759.51,1720502.73,364150,0,3489064.47,336688.94,0,2020-06-30 00:00:00
141,California ,16,"COSTA, JIM MR.",Democratic Party,Incumbent,1683214.93,740242.01,937609.83,0,1365732.34,427372.9,799.16,2020-06-30 00:00:00
142,California ,16,"COOKINGHAM, KEVIN",Republican Party,Challenger,126682.74,123182.74,2500,1000,101812.68,24870.06,10715,2020-06-30 00:00:00
143,California ,16,"SORIA, ESMERALDA",Democratic Party,Challenger,429323.33,340412.13,73934.64,13000,428789.28,534.05,5396.88,2020-06-30 00:00:00
144,California ,16,"WILLIAMS, KIM",Democratic Party,Challenger,53242.48,46012.5,500,6729.98,45909.9,5702.91,0,2020-03-31 00:00:00
145,California ,17,"KHANNA, ROHIT",Democratic Party,Incumbent,3130974.25,3121277.04,0,0,1793151.2,2216426.57,89348.3,2020-06-30 00:00:00
146,California ,17,"TANDON, RITESH",Republican Party,Challenger,85738.22,79937.22,2800,3001,56657.96,29080.26,13280.01,2020-06-30 00:00:00
147,California ,18,"ESHOO, ANNA G",Democratic Party,Incumbent,1682555.54,935733.58,745239.55,0,1317549.8,862053.31,374.85,2020-06-30 00:00:00
148,California ,18,"FOX, DR. RICHARD B",Republican Party,Challenger,20222.37,0,0,20222.37,20222.37,0,0,2020-03-31 00:00:00
149,California ,18,"KUMAR, RISHI",Democratic Party,Challenger,431833.14,336833.14,0,95000,421138.06,10695.08,95000,2020-06-30 00:00:00
150,California ,19,"LOFGREN, ZOE",Democratic Party,Incumbent,1471361.51,474709.35,410990,0,1423630.72,1184412.59,0,2020-06-30 00:00:00
151,California ,19,"AGUILERA, JUSTIN",Republican Party,Challenger,960,960,0,0,3913.15,917.55,4210.42,2020-06-30 00:00:00
152,California ,19,"CRUZ-LARA, IGNACIO ISRAEL",Republican Party,Challenger,5614.99,364.99,0,5250,6834.77,-1219.78,2050,2020-06-30 00:00:00
153,California ,19,"TORRES, IVAN",Democratic Party,Challenger,272.87,272.87,0,0,0,272.87,0,2019-12-31 00:00:00
154,California ,20,"PANETTA, JIMMY",Democratic Party,Incumbent,1351524.69,428920.58,918797.86,0,1351738.7,757919.67,0,2020-06-30 00:00:00
155,California ,20,"BOLA?OS SCOW, ADAM",Democratic Party,Challenger,122626.62,113661.62,4000,4890,122626.63,-0.01,0,2020-03-31 00:00:00
156,California ,20,"GORMAN, JEFF",Republican Party,Challenger,47657.4,46557.4,0,1000,42545.62,5111.78,3000,2020-06-30 00:00:00
157,California ,21,"COX, TERRENCE JOHN (TJ)",Democratic Party,Incumbent,3204254.84,2179766.02,763213.33,0,1290070.71,1968975.24,0,2020-06-30 00:00:00
158,California ,21,"VALADAO, DAVID",Republican Party,Challenger,2438214.64,1726263.25,297459,0,705089.17,1812043.56,0,2020-06-30 00:00:00
159,California ,22,"NUNES, DEVIN G.",Republican Party,Incumbent,16317299.81,15275646.27,786999.42,0,10022082.42,10533844.88,0,2020-06-30 00:00:00
160,California ,22,"ARBALLO, PHIL",Democratic Party,Challenger,2624463.43,2578949.22,44803.5,0,2175336.56,449126.87,0,2020-06-30 00:00:00
161,California ,22,"BLIATOUT, BOBBY",Democratic Party,Challenger,712616.17,286763.05,8500,416898.16,712616.17,0,0,2020-06-30 00:00:00
162,California ,22,"GARCIA, ERIC",No Party Affiliation,Challenger,2971,1181,0,1790,3419.39,0,0,2020-03-31 00:00:00
163,California ,22,"REZVANI SARABI, AMIR DARYOUSH",Democratic Party,Challenger,245760.8,234430.24,0,11330.56,245760.8,0,0,2020-04-20 00:00:00
164,California ,23,"MCCARTHY, KEVIN",Republican Party,Incumbent,16848452.66,10385401.29,1339635.02,0,11872258.41,6263266.43,77732.23,2020-06-30 00:00:00
165,California ,23,"MANGONE, KIM",Democratic Party,Challenger,492038.62,474566.9,16062.3,1409.42,208395.53,283643.09,3808.42,2020-06-30 00:00:00
166,California ,24,"CARBAJAL, SALUD O.",Democratic Party,Incumbent,1690368.05,1252573.73,430762.77,0,726370.87,1698487.53,0,2020-06-30 00:00:00
167,California ,24,"CALDWELL, JAMES ANDREW",Republican Party,Challenger,795372.17,784775.9,2500,0,564451.98,230920.19,0,2020-06-30 00:00:00
168,California ,24,"WOODY, MICHAEL ERIN",Republican Party,Challenger,4650,4650,0,0,10929.23,-261.26,90500,2020-06-30 00:00:00
169,California ,25,"GARCIA, MICHAEL",Republican Party,Incumbent,4471031.7,3853298.13,417989.02,125786,3732639.64,738392.06,322792.77,2020-06-30 00:00:00
170,California ,25,"COOPER, ROBERT",Democratic Party,Challenger,11183.18,9675,0,1488.18,11183.18,0,0,2020-04-15 00:00:00
171,California ,25,"CRIPE, MARK",Republican Party,Challenger,23282,23282,0,0,23282,0,0,2019-12-31 00:00:00
172,California ,25,"KNIGHT, STEVE",Republican Party,Challenger,266421.41,209539.57,50695,0,298255.86,1629.38,0,2020-06-30 00:00:00
173,California ,25,"LACKEY, COURTNEY",Republican Party,Challenger,4718,4618,0,0,4718,0,0,2020-03-23 00:00:00
174,California ,25,"LOZANO, DAVID",Republican Party,Challenger,8745,8745,0,0,7307.79,1914.21,0,2020-06-30 00:00:00
175,California ,25,"PAPADOPOULOS, GEORGE",Republican Party,Challenger,135023.92,134931.05,0,0,135023.92,0,0,2020-05-24 00:00:00
176,California ,25,"SMITH, CHRISTY",Democratic Party,Challenger,3464305.63,2761193.98,683097.29,0,3061453.54,402852.09,0,2020-06-30 00:00:00
177,California ,25,"UNDERWOOD JACOBS, ANGELA",Republican Party,Challenger,262704.65,179055,3649,80000,201094.19,61610.46,0,2020-06-30 00:00:00
178,California ,25,"VALDEZ-ORTEGA, ANIBAL MR.",Democratic Party,Challenger,23576.8,520,0,23056.8,23559.79,17.01,23056.8,2020-03-31 00:00:00
179,California ,25,"VALLADARES, SUZETTE MARTINEZ",Republican Party,Challenger,33457.38,32521.08,0,0,33065.43,391.95,26578.01,2020-06-30 00:00:00
180,California ,26,"BROWNLEY, JULIA",Democratic Party,Incumbent,1473236.87,841975.67,527600,0,1008119.92,2916529.35,0,2020-06-30 00:00:00
181,California ,26,"GOLDEN, CRYSTAL MARIE",Republican Party,Challenger,843.65,0,0,793.65,1146.4,0,0,2020-06-30 00:00:00
182,California ,26,"KENNEDY, RONDA",Republican Party,Challenger,174906.97,160312.43,0,13594.54,72891.47,100971.7,13667.21,2020-06-30 00:00:00
183,California ,26,"SALAS, ROBERT LAMBERT MR.",Democratic Party,Challenger,7640.85,2087.53,0,5553.32,9392.21,-312.87,0,2020-04-15 00:00:00
